cluster,size
0,17983
1,198926
2,24181
3,18819
4,13375
5,12764
6,13911
7,15275
8,14437
9,17638
10,22560
11,13998
12,9795
13,23817
14,6503
15,7079
16,17352
17,14219
18,15905
19,22180
20,20782
21,11551
22,18426
23,21873
24,10752
25,17856
26,18098
27,7836
28,16624
29,19108
30,18210
31,12911
32,14306
33,16069
34,13967
35,6261
36,15169
37,17323
38,18556
39,19634
40,15083
41,15510
42,19892
43,10070
44,10202
45,15530
46,12942
47,12607
48,10791
49,18333
50,16983
51,15711
52,18254
53,18006
54,14319
55,15622
56,8119
57,17003
58,6436
59,14699
60,21326
61,18253
62,22257
63,20254
64,19462
65,13768
66,16528
67,13712
68,14418
69,20779
70,11727
71,9588
72,18745
73,14672
74,64166
75,21613
76,21827
77,16483
78,11219
79,22960
80,23345
81,22499
82,17323
83,12362
84,16245
85,20485
86,19140
87,23408
88,27460
89,10040
90,55440
91,9753
92,15719
93,18649
94,19645
95,21729
96,20036
97,21802
98,8370
99,11404
