token,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,sim_1,sim_2,sim_3,sim_4,sim_5
tok_0,tok_38,tok_3,tok_50,tok_17,tok_22,0.1829,0.1662,0.1612,0.1472,0.1457
tok_1,tok_58,tok_13,tok_11,tok_28,tok_25,0.2530,0.1963,0.1515,0.1388,0.1349
tok_2,tok_56,tok_28,tok_17,tok_14,tok_60,0.2150,0.1385,0.1352,0.1233,0.1120
tok_3,tok_47,tok_60,tok_0,tok_25,tok_37,0.1889,0.1716,0.1662,0.1600,0.1565
tok_4,tok_53,tok_45,tok_5,tok_59,tok_40,0.2231,0.1908,0.1721,0.1568,0.1306
tok_5,tok_4,tok_51,tok_49,tok_64,tok_28,0.1721,0.1532,0.1366,0.1348,0.1332
tok_6,tok_16,tok_46,tok_25,tok_9,tok_66,0.2087,0.1880,0.1822,0.1580,0.1450
tok_7,tok_39,tok_17,tok_53,tok_36,tok_38,0.1459,0.1436,0.1328,0.1189,0.1168
tok_8,tok_24,tok_50,tok_63,tok_20,tok_18,0.2109,0.2063,0.1893,0.1494,0.1421
tok_9,tok_54,tok_63,tok_6,tok_55,tok_34,0.2013,0.1699,0.1580,0.1330,0.1227
tok_10,tok_38,tok_42,tok_22,tok_61,tok_33,0.1777,0.1771,0.1719,0.1667,0.1643
tok_11,tok_13,tok_1,tok_48,tok_45,tok_54,0.1672,0.1515,0.1342,0.1296,0.1276
tok_12,tok_61,tok_41,tok_52,tok_48,tok_56,0.1867,0.1751,0.1531,0.1521,0.1427
tok_13,tok_30,tok_1,tok_11,tok_34,tok_19,0.2118,0.1963,0.1672,0.1657,0.1544
tok_14,tok_27,tok_61,tok_24,tok_2,tok_45,0.1426,0.1336,0.1305,0.1233,0.1159
tok_15,tok_61,tok_21,tok_42,tok_19,tok_52,0.1832,0.1827,0.1761,0.1573,0.1268
tok_16,tok_58,tok_6,tok_25,tok_39,tok_9,0.2162,0.2087,0.1703,0.1473,0.1124
tok_17,tok_53,tok_50,tok_30,tok_56,tok_22,0.1945,0.1838,0.1732,0.1691,0.1548
tok_18,tok_41,tok_55,tok_20,tok_24,tok_8,0.2248,0.2058,0.2012,0.1610,0.1421
tok_19,tok_62,tok_59,tok_15,tok_13,tok_46,0.1786,0.1599,0.1573,0.1544,0.1472
tok_20,tok_18,tok_68,tok_44,tok_29,tok_8,0.2012,0.1842,0.1839,0.1715,0.1494
tok_21,tok_49,tok_15,tok_68,tok_32,tok_41,0.2553,0.1827,0.1577,0.1467,0.1411
tok_22,tok_32,tok_10,tok_63,tok_68,tok_17,0.2417,0.1719,0.1655,0.1572,0.1548
tok_23,tok_61,tok_33,tok_47,tok_28,tok_31,0.2538,0.2142,0.1643,0.1433,0.1409
tok_24,tok_8,tok_42,tok_49,tok_18,tok_20,0.2109,0.2008,0.1701,0.1610,0.1437
tok_25,tok_52,tok_54,tok_29,tok_6,tok_16,0.2898,0.1876,0.1864,0.1822,0.1703
tok_26,tok_64,tok_58,tok_52,tok_60,tok_67,0.1868,0.1595,0.1545,0.1355,0.1345
tok_27,tok_45,tok_32,tok_51,tok_14,tok_33,0.1784,0.1775,0.1606,0.1426,0.1409
tok_28,tok_23,tok_1,tok_2,tok_3,tok_5,0.1433,0.1388,0.1385,0.1371,0.1332
tok_29,tok_25,tok_20,tok_66,tok_34,tok_10,0.1864,0.1715,0.1683,0.1648,0.1558
tok_30,tok_59,tok_13,tok_34,tok_17,tok_68,0.2848,0.2118,0.1756,0.1732,0.1433
tok_31,tok_38,tok_23,tok_46,tok_67,tok_40,0.1499,0.1409,0.1328,0.1260,0.1258
tok_32,tok_22,tok_27,tok_3,tok_21,tok_41,0.2417,0.1775,0.1506,0.1467,0.1297
tok_33,tok_41,tok_23,tok_57,tok_10,tok_27,0.2642,0.2142,0.1922,0.1643,0.1409
tok_34,tok_59,tok_43,tok_30,tok_13,tok_29,0.2685,0.1947,0.1756,0.1657,0.1648
tok_35,tok_37,tok_10,tok_65,tok_12,tok_43,0.1785,0.1558,0.1360,0.1223,0.1100
tok_36,tok_42,tok_62,tok_48,tok_7,tok_53,0.1866,0.1727,0.1207,0.1189,0.1043
tok_37,tok_35,tok_51,tok_55,tok_3,tok_27,0.1785,0.1752,0.1686,0.1565,0.1356
tok_38,tok_0,tok_10,tok_64,tok_31,tok_53,0.1829,0.1777,0.1700,0.1499,0.1402
tok_39,tok_16,tok_7,tok_43,tok_6,tok_10,0.1473,0.1459,0.1455,0.1295,0.1234
tok_40,tok_55,tok_6,tok_47,tok_4,tok_1,0.1919,0.1416,0.1328,0.1306,0.1287
tok_41,tok_33,tok_18,tok_12,tok_10,tok_21,0.2642,0.2248,0.1751,0.1537,0.1411
tok_42,tok_24,tok_36,tok_10,tok_15,tok_61,0.2008,0.1866,0.1771,0.1761,0.1531
tok_43,tok_34,tok_39,tok_45,tok_59,tok_24,0.1947,0.1455,0.1311,0.1277,0.1257
tok_44,tok_20,tok_41,tok_59,tok_27,tok_28,0.1839,0.1289,0.1271,0.1145,0.1052
tok_45,tok_4,tok_46,tok_27,tok_62,tok_68,0.1908,0.1889,0.1784,0.1497,0.1368
tok_46,tok_45,tok_6,tok_62,tok_49,tok_19,0.1889,0.1880,0.1838,0.1530,0.1472
tok_47,tok_3,tok_23,tok_60,tok_51,tok_67,0.1889,0.1643,0.1611,0.1452,0.1442
tok_48,tok_12,tok_11,tok_6,tok_66,tok_36,0.1521,0.1342,0.1304,0.1238,0.1207
tok_49,tok_21,tok_24,tok_46,tok_62,tok_5,0.2553,0.1701,0.1530,0.1381,0.1366
tok_50,tok_8,tok_17,tok_0,tok_25,tok_4,0.2063,0.1838,0.1612,0.1359,0.1294
tok_51,tok_37,tok_27,tok_5,tok_47,tok_12,0.1752,0.1606,0.1532,0.1452,0.1301
tok_52,tok_25,tok_26,tok_12,tok_3,tok_15,0.2898,0.1545,0.1531,0.1396,0.1268
tok_53,tok_4,tok_17,tok_34,tok_38,tok_7,0.2231,0.1945,0.1423,0.1402,0.1328
tok_54,tok_9,tok_25,tok_55,tok_12,tok_58,0.2013,0.1876,0.1465,0.1345,0.1305
tok_55,tok_66,tok_18,tok_40,tok_37,tok_60,0.2786,0.2058,0.1919,0.1686,0.1628
tok_56,tok_2,tok_66,tok_17,tok_12,tok_25,0.2150,0.1890,0.1691,0.1427,0.1259
tok_57,tok_66,tok_33,tok_8,tok_49,tok_21,0.2415,0.1922,0.1267,0.1237,0.1139
tok_58,tok_1,tok_16,tok_26,tok_22,tok_34,0.2530,0.2162,0.1595,0.1545,0.1427
tok_59,tok_30,tok_34,tok_19,tok_4,tok_25,0.2848,0.2685,0.1599,0.1568,0.1561
tok_60,tok_3,tok_55,tok_47,tok_26,tok_67,0.1716,0.1628,0.1611,0.1355,0.1250
tok_61,tok_23,tok_12,tok_15,tok_10,tok_42,0.2538,0.1867,0.1832,0.1667,0.1531
tok_62,tok_46,tok_19,tok_36,tok_45,tok_49,0.1838,0.1786,0.1727,0.1497,0.1381
tok_63,tok_8,tok_9,tok_22,tok_68,tok_4,0.1893,0.1699,0.1655,0.1467,0.1293
tok_64,tok_66,tok_26,tok_38,tok_10,tok_5,0.2203,0.1868,0.1700,0.1425,0.1348
tok_65,tok_35,tok_2,tok_33,tok_18,tok_11,0.1360,0.0996,0.0979,0.0806,0.0791
tok_66,tok_55,tok_57,tok_64,tok_56,tok_29,0.2786,0.2415,0.2203,0.1890,0.1683
tok_67,tok_47,tok_26,tok_31,tok_60,tok_54,0.1442,0.1345,0.1260,0.1250,0.1099
tok_68,tok_20,tok_21,tok_22,tok_63,tok_30,0.1842,0.1577,0.1572,0.1467,0.1433
