start_pos,tokens,saliency_sum,mean_attn_in_window,nearest_cluster,cluster_distance
240,tok_36-tok_35-tok_26-tok_44-tok_17-tok_39-tok_17-tok_48-tok_5,0.002140,0.003048,,
227,tok_8-tok_55-tok_39-tok_36-tok_19-tok_57-tok_19-tok_51-tok_59,0.001948,0.002146,,
242,tok_26-tok_44-tok_17-tok_39-tok_17-tok_48-tok_5-tok_39-tok_62,0.001898,0.001851,,
226,tok_64-tok_8-tok_55-tok_39-tok_36-tok_19-tok_57-tok_19-tok_51,0.001890,0.001988,,
228,tok_55-tok_39-tok_36-tok_19-tok_57-tok_19-tok_51-tok_59-tok_38,0.001872,0.002168,,
41,tok_51-tok_20-tok_19-tok_51-tok_36-tok_45-tok_36-tok_22-tok_23,0.001797,0.016774,,
241,tok_35-tok_26-tok_44-tok_17-tok_39-tok_17-tok_48-tok_5-tok_39,0.001778,0.003227,,
245,tok_39-tok_17-tok_48-tok_5-tok_39-tok_62-tok_8-tok_28-tok_4,0.001678,0.001644,,
243,tok_44-tok_17-tok_39-tok_17-tok_48-tok_5-tok_39-tok_62-tok_8,0.001664,0.001802,,
224,tok_7-tok_37-tok_64-tok_8-tok_55-tok_39-tok_36-tok_19-tok_57,0.001648,0.002869,,
230,tok_36-tok_19-tok_57-tok_19-tok_51-tok_59-tok_38-tok_23-tok_64,0.001635,0.002201,,
225,tok_37-tok_64-tok_8-tok_55-tok_39-tok_36-tok_19-tok_57-tok_19,0.001635,0.003096,,
246,tok_17-tok_48-tok_5-tok_39-tok_62-tok_8-tok_28-tok_4-tok_55,0.001635,0.001557,,
244,tok_17-tok_39-tok_17-tok_48-tok_5-tok_39-tok_62-tok_8-tok_28,0.001577,0.001614,,
229,tok_39-tok_36-tok_19-tok_57-tok_19-tok_51-tok_59-tok_38-tok_23,0.001500,0.002013,,
219,tok_58-tok_20-tok_12-tok_24-tok_4-tok_7-tok_37-tok_64-tok_8,0.001446,0.002731,,
147,tok_4-tok_44-tok_37-tok_22-tok_43-tok_53-tok_6-tok_35-tok_20,0.001382,0.003628,,
146,tok_34-tok_4-tok_44-tok_37-tok_22-tok_43-tok_53-tok_6-tok_35,0.001359,0.003236,,
16,tok_12-tok_40-tok_17-tok_12-tok_18-tok_5-tok_35-tok_67-tok_65,0.001332,0.025868,,
15,tok_5-tok_12-tok_40-tok_17-tok_12-tok_18-tok_5-tok_35-tok_67,0.001285,0.023539,,
